route,probe_path,source_file,dynamic,status,http_status,bytes,final_url,title,login_markers,error,notes,authenticated_final_url,authenticated_status,interactive_count,network_failure_count,dark_screenshot,light_screenshot
/calendar,/calendar,apps/frontend/src/app/(dashboard)/calendar/page.tsx,no,HTTP_PROBED,200,26842,http://100.124.4.24:3100/calendar,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/calendar?view=month,PASS_RENDER,63,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/calendar__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/calendar__1440x1000__light__default.png
/contacts,/contacts,apps/frontend/src/app/(dashboard)/contacts/page.tsx,no,HTTP_PROBED,200,28744,http://100.124.4.24:3100/contacts,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/contacts,PASS_RENDER,34,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/contacts__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/contacts__1440x1000__light__default.png
/dashboard,/dashboard,apps/frontend/src/app/(dashboard)/dashboard/page.tsx,no,HTTP_PROBED,200,26523,http://100.124.4.24:3100/dashboard,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,PARTIAL_NETWORK_ERRORS,50,1,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/dashboard__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/dashboard__1440x1000__light__default.png
/documents,/documents,apps/frontend/src/app/(dashboard)/documents/page.tsx,no,HTTP_PROBED,200,26765,http://100.124.4.24:3100/documents,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/documents__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/documents__1440x1000__light__default.png
/email,/email,apps/frontend/src/app/(dashboard)/email/page.tsx,no,HTTP_PROBED,200,30364,http://100.124.4.24:3100/email,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/email,PARTIAL_NETWORK_ERRORS,37,1,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/email__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/email__1440x1000__light__default.png
/finance,/finance,apps/frontend/src/app/(dashboard)/finance/page.tsx,no,HTTP_PROBED,200,26623,http://100.124.4.24:3100/finance,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/finance,PARTIAL_NETWORK_ERRORS,40,12,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/finance__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/finance__1440x1000__light__default.png
/insurance,/insurance,apps/frontend/src/app/(dashboard)/insurance/page.tsx,no,HTTP_PROBED,200,26713,http://100.124.4.24:3100/insurance,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/insurance__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/insurance__1440x1000__light__default.png
/it-inventory,/it-inventory,apps/frontend/src/app/(dashboard)/it-inventory/page.tsx,no,HTTP_PROBED,200,26731,http://100.124.4.24:3100/it-inventory,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/it-inventory__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/it-inventory__1440x1000__light__default.png
/jellyfin/browse,/jellyfin/browse,apps/frontend/src/app/(dashboard)/jellyfin/browse/page.tsx,no,HTTP_PROBED,200,27296,http://100.124.4.24:3100/jellyfin/browse,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/jellyfin/browse,PARTIAL_NETWORK_ERRORS,184,1,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/jellyfin__browse__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/jellyfin__browse__1440x1000__light__default.png
/jellyfin/collections/[id],/jellyfin/collections/__review_invalid__,apps/frontend/src/app/(dashboard)/jellyfin/collections/[id]/page.tsx,yes,HTTP_PROBED,200,27997,http://100.124.4.24:3100/jellyfin/collections/__review_invalid__,LifeHub,,,Dynamic route probed with invalid placeholder,http://100.124.4.24:3100/jellyfin/collections/__review_invalid__,PARTIAL_INVALID_ID_NO_CLEAR_STATE,33,4,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/jellyfin__collections__id__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/jellyfin__collections__id__1440x1000__light__default.png
